short_url	asin	resolved_url	checked_date
https://amzn.to/4gy9Yqp	B06WLP7B8N	https://www.amazon.co.jp/HAWK-%E3%83%9B%E3%83%BC%E3%82%AF%E3%82%AE%E3%82%A2-%E3%83%90%E3%83%83%E3%82%AF%E3%83%91%E3%83%83%E3%82%AF-%E3%82%A2%E3%82%A6%E3%83%88%E3%83%89%E3%82%A2-%E3%83%A2%E3%82%B9%E3%8	2026-09-20
https://amzn.to/4aT5wPk	B00T47R65W	https://www.amazon.co.jp/M-Style-3WAY-%E3%83%9F%E3%83%AA%E3%82%BF%E3%83%AA%E3%83%BC%E3%83%90%E3%83%83%E3%82%B0-%E3%83%9C%E3%82%B9%E3%83%88%E3%83%B3-%E3%82%B7%E3%83%A7%E3%83%AB%E3%83%80%E3%83%BC/dp/B00	2026-09-20
https://amzn.to/4hcZ1KZ	B0BBV1T6X3	https://www.amazon.co.jp/Barebones-LIV-135-%E3%83%99%E3%82%A2%E3%83%9C%E3%83%BC%E3%83%B3%E3%82%BA-%E3%82%A8%E3%82%B8%E3%82%BD%E3%83%B3%E3%83%A9%E3%82%A4%E3%83%88%E3%82%B9%E3%83%86%E3%82%A3%E3%83%83%E3	2026-09-20
https://amzn.to/4aT5zL0	B08P6PVBMJ	https://www.amazon.co.jp/Barebones-%E3%83%99%E3%82%A2%E3%83%BC%E3%83%9C%E3%83%BC%E3%83%B3%E3%82%BA%E3%83%AA%E3%83%93%E3%83%B3%E3%82%B0-%E3%83%AC%E3%82%A4%E3%83%AB%E3%83%AD%E3%83%BC%E3%83%89%E3%83%A9%E	2026-09-20
https://amzn.to/4gxBnIY	B07D2JVK39	https://www.amazon.co.jp/BAREBONES-%E3%83%99%E3%82%A2%E3%83%9C%E3%83%BC%E3%83%B3%E3%82%BA-%E3%83%93%E3%83%BC%E3%82%B3%E3%83%B3%E3%83%A9%E3%82%A4%E3%83%88LED2-0-%E3%83%AC%E3%83%83%E3%83%89-%E3%80%90%E6	2026-09-20
https://amzn.to/3TjpmgB	B084HLLQZ3	https://www.amazon.co.jp/%E3%83%99%E3%82%A2%E3%83%9C%E3%83%BC%E3%83%B3%E3%82%BA-Barebones-%E3%82%A8%E3%82%B8%E3%82%BD%E3%83%B3%E3%83%A9%E3%83%B3%E3%82%BF%E3%83%B3LED-%E3%82%A2%E3%83%B3%E3%83%86%E3%82%	2026-09-20
https://amzn.to/4vWLoEk	B09XPYRKYL	https://www.amazon.co.jp/%E3%82%A2%E3%82%A4%E3%83%AA%E3%82%B9%E3%82%AA%E3%83%BC%E3%83%A4%E3%83%9E-%E7%84%9A%E3%81%8D%E7%81%AB%E3%83%86%E3%83%BC%E3%83%96%E3%83%AB-TKB-TB98-TKB-ST43-TKB-TP135/dp/B09XPYR	2026-09-20
https://amzn.to/4w2PXgk	B09XQ4NYH4	https://www.amazon.co.jp/%E3%82%A2%E3%82%A4%E3%83%AA%E3%82%B9%E3%82%AA%E3%83%BC%E3%83%A4%E3%83%9E-%E7%84%9A%E3%81%8D%E7%81%AB%E3%83%86%E3%83%BC%E3%83%96%E3%83%AB-TKB-TB98-TKB-ST43-TKB-TP135/dp/B09XQ4N	2026-09-20
https://amzn.to/4bk9TTG	B09XQKJ8JT	https://www.amazon.co.jp/%E3%82%A2%E3%82%A4%E3%83%AA%E3%82%B9%E3%82%AA%E3%83%BC%E3%83%A4%E3%83%9E-%E7%84%9A%E3%81%8D%E7%81%AB%E3%83%86%E3%83%BC%E3%83%96%E3%83%AB-TKB-TB98-TKB-ST43-TKB-TP135/dp/B09XQKJ	2026-09-20
https://amzn.to/4yh4S8g	B0D1XY14Q8	https://www.amazon.co.jp/TRGR-%E3%83%90%E3%83%BC%E3%83%99%E3%82%AD%E3%83%A5%E3%83%BC%E3%82%B3%E3%83%B3%E3%83%AD-%E3%82%A8%E3%83%B3%E3%83%88%E3%83%AA%E3%83%BC%E3%83%A2%E3%83%87%E3%83%AB-%E3%82%AD%E3%83	2026-09-20
