backpack-rain-cover	LAMA Store リュックカバー 2枚セット 耐水圧3500mm	https://item.rakuten.co.jp/la-ma/a100009/?rafcid=wsc_i_is_ea4b84f0-cfca-4a84-b96e-a8423bbc252f			汎用OEM品(ブランド・型番なし)のためAmazon検索未実施・no-amazon(保守側)2026-09-10
backpack-rain-cover	八八爽快 ザックカバー Lサイズ（40L対応）収納袋付き	https://item.rakuten.co.jp/88so-kai/100878/?rafcid=wsc_i_is_ea4b84f0-cfca-4a84-b96e-a8423bbc252f			汎用OEM品(ブランド・型番なし)のためAmazon検索未実施・no-amazon(保守側)2026-09-10
backpack-rain-cover	リバーブセレクト ザックカバー ビッグサイズ（50L以上・1年保証）	https://item.rakuten.co.jp/travel-depart/outdoor-7/?rafcid=wsc_i_is_ea4b84f0-cfca-4a84-b96e-a8423bbc252f			汎用OEM品(ブランド・型番なし)のためAmazon検索未実施・no-amazon(保守側)2026-09-10
backpack-rain-cover	雑貨ストアDAICHU リュックカバー 15L〜100L対応	https://item.rakuten.co.jp/nagapo/20230207-backpack-cover/?rafcid=wsc_i_is_ea4b84f0-cfca-4a84-b96e-a8423bbc252f			汎用OEM品(ブランド・型番なし)のためAmazon検索未実施・no-amazon(保守側)2026-09-10
backpack-rain-cover	Mt.happy 無地カバー Sサイズ（20〜30L対応）	https://item.rakuten.co.jp/mthappy/0003-012/?rafcid=wsc_i_is_ea4b84f0-cfca-4a84-b96e-a8423bbc252f			汎用OEM品(ブランド・型番なし)のためAmazon検索未実施・no-amazon(保守側)2026-09-10
insulated-tumbler	サーモス 保冷缶ホルダー 350ml缶用 JDU-351 ブラック	https://item.rakuten.co.jp/ra-must/0996850/?rafcid=wsc_i_is_ea4b84f0-cfca-4a84-b96e-a8423bbc252f	https://www.amazon.co.jp/dp/B0GL5Q2HHC		ASIN取得済(amazonAsin設置) 型番(JDU-351)・色(ブラック)一致で確認 2026-09-10
insulated-tumbler	サーモス 保冷缶ホルダー 500ml缶用 JDU-501 ブラック	https://item.rakuten.co.jp/ra-must/0996876/?rafcid=wsc_i_is_ea4b84f0-cfca-4a84-b96e-a8423bbc252f	https://www.amazon.co.jp/dp/B0GL5TZZBC		ASIN取得済(amazonAsin設置) 型番(JDU-501)・色(ブラック)一致で確認 2026-09-10
insulated-tumbler	ハイドロフラスク Cooler Cup クーラーカップ 12oz（354ml）ホワイト	https://item.rakuten.co.jp/plywood/26852124/?rafcid=wsc_i_is_ea4b84f0-cfca-4a84-b96e-a8423bbc252f	https://www.amazon.co.jp/dp/B091PN2633		ASIN取得済(amazonAsin設置) 12oz・ホワイト一致で確認 2026-09-10
insulated-tumbler	アトラス 缶ホルダー AWCH-350/500 ネイビー	https://item.rakuten.co.jp/atlas-online/awch-350/?rafcid=wsc_i_is_ea4b84f0-cfca-4a84-b96e-a8423bbc252f	https://www.amazon.co.jp/dp/B08747KL4Y		ASIN取得済(amazonAsin設置) 型番(AWCH-350-500NV)・色(ネイビー)一致で確認 2026-09-10
insulated-tumbler	缶ホルダークーラー 350ml 真空断熱二重構造（エントリーモデル）	https://item.rakuten.co.jp/zakkanetonline-trans/ts-1655/?rafcid=wsc_i_is_ea4b84f0-cfca-4a84-b96e-a8423bbc252f			汎用OEM品(ブランド・型番なし)のためAmazon検索未実施・no-amazon(保守側)2026-09-10
